nohhold,nomem,weeknr,inkhh,inknorm,inkrond,finsitu,inkeven,inkaank,inksec,loan1,loan2,loan3,ink25a,ink25b,ink25c,ecsit,zinvol,opzij,hoevopzy,opzij12,spaarm01,spaarm02,spaarm03,spaarm04,spaarm05,spaarm06,spaarm07,spaarm08,spaarm09,spaarm10,spaarm11,spaarm12,spaarm13,spaarm14,spaarm15,spaarm16,situat1,situat2,situat3,situat4,situat5,situat6,situat7,spaar1,spaar2,spaar3,spaar4,spaar5,spaar6,beschryf,toek01,toek02,toek03,toek04,toek05,toek06,toek07,toek08,toek09,toek10,toek11,toek12,uitgeven,plannen,periode1,bijhoud,potjes,pin1,pin2,chip1,chip2,autom,foon,intern,zon,her1,her2,her3,her4,baby,plan,uitspr,hhrela,beslis,geldh,geluk,kenltd,kenhh,kenink,kenopl,kenwerk,manuur,vrouwuur,kunde,advies,con01,con02,con03,con04,con05,con06,con07,con08,con09,con10,locus01,locus02,locus03,locus04,locus05,locus06,locus07,locus08,locus09,locus10,locus11,locus12,locus13,work01,work02,work03,work04,work05,work06,work07,work08,work09,jeugd1,jeugd2,jeugd3,jeugd4,jeugd5,jeugd6,jeugd1_x,jeugd2_x,jeugd3_x,jeugd4_x,jeugd5_x,jeugd6_x,toek01_x,toek02_x,toek03_x,toek04_x,toek05_x,toek06_x,toek07_x,toek08_x,toek09_x,toek10_x,toek11_x,toek12_x
24985,1,201115,2,2,4,4,2, , ,2,2,2,3,1,3,3,2,1,2,2,1,4,4,7,7,1,1,5,4,7,3,1,2,7,5,3,3,3,1,3,3,1,5,6,7,1,7,1,1,-7,1,1,7,7,5,4,7,4,4,4,6,5,5,2,3,4,1,1,3,1,2,-9,-9,3,60,0,0,0,0,1,1,2, , , ,1,12,2,6,4,4,0,0,2,3,5,1,3,1,4,5,1,4,1,5,5,3,6,2,5,6,6,4,4,3,2,2,4, , , , , , , , , ,1,3,3,2,2,2, , , , , , , , , , , , , , , , , , 
25059,1,201115,3,2,5,5,3, , ,1,1,2,5,2, ,3,1,1,3,1,1,2,5,6,7,5,2,7,1,6,4,1,1,7,6,5,7,7,1,7,4,6,7,7,6,2,7,2,2,-7,6,6,2,1,6,2,6,4,3,2,2,4,7,1,3,5,1,1,3,2, ,-9,-9,3,50,100,100,0,100,1,1,3, , , ,2,11,1,8,5,5,0,25,3,6,4,1,2,1,5,5,1,5,1,5,6,1,6,2,7,7,7,2,6,2,2,1,1, , , , , , , , , ,1,2,5,3,4,2, , , , , , , , , , , , , , , , , , 
25195,2,201115,1,2,2,3,2, , ,2,1,2,3,2, ,4,3,1,1,2,5,3,2,2,2,2,3,3,3,7,6,3,4,7,6,6,3,2,5,3,3,3,3,5,6,4,5,3,2,-7,4,3,4,3,3,2,5,4,5,4,3,4,4,5,4,4,1,1,4,1,2,-9,-9,4,80,50,10,2,50,2, , ,1,3,2,2,4,1,-9,7,4,12,10,1,8,3,3,2,2,4,4,3,3,2,5,4,3,4,2,4,5,6,3,3,2,3,2,2, , , , , , , , , ,1,2,4,3,2,1, , , , , , , , , , , , , , , , , , 
25221,1,201115,3,2,3,4,2, , ,2,1,2,3,2, ,3,1,1,2,1,3,4,3,4,3,2,2,4,2,4,4,2,4,4,2,4,5,4,4,4,4,4,5,3,5,3,5,3,2,-7, , , , , , , , , , , , ,5,3,3,3,1,1,3,1,1,2,-9,3,90,90,80,25,95,1,-9,3,2,4,1,2,11,2,7,6,4,38,32,2,6,4,3,4,3,4,4,3,3,3,4,3,4,4,3,4,4,5,4,3,4,3,3,4, , , , , , , , , , , , , , , ,1,4,3,2,2,2,4,3,4,4,3,3,4,4,2,4,3,4
25247,1,201115,3,2,4,4,3, , ,2,1,2,4,1,4,4,1,1,3,1,3,7,7,7,6,6,1,5,4,7,6,-7,-7,7,6,5,5,5,3,5,5,5,6,7,5,1,6,1,4,-7, , , , , , , , , , , , ,5,2,2,4,2,1,3,1,1,-9,-9,3,60,95,25,1,99,2, , ,1,3,1,2,4,2,8,7,4,40,36,3,8,3,3,3,2,5,5,2,4,1,5,5,4,6,5,6,6,7,1,1,1,1,3,2,6,6,7,6,7,5,2,6,6, , , , , , ,1,5,3,2,1,2,5,3,4,4,3,3,6,6,2,3,2,5
25247,2,201115,3,2,4,4,3, , ,2,1,2,4,1,4,4,1,1,3,1,-7,-7,5,6,6,7,1,6,4,7,4,4,-7,7,7,6,5,5,4,5,5,5,6,5,3,1,7,1,3,-7, , , , , , , , , , , , ,6,2,3,4,2,1,3,1,1,-9,-9,3,100,75,50,1,100,2, , ,1,3,1,2,5,2,9,7,4,40,32,3,8,3,3,2,2,3,4,2,4,2,4,5,5,6,6,6,6,6,4,3,2,4,4,4,2,2,7,4,6,7,1,1,1, , , , , , ,2,3,3,2,1,3,5,3,4,3,5,4,7,5,1,1,2,2
25359,1,201115,1,1,2,3,1,1,2,1,4,2,4,2, ,5,1,2, ,1,7,7,7,7,7,7,7,7,7,7,7,-7,5,7,7,7,4,1,5,3,4,3,4,6,4,1,5,3,2,-7, , , , , , , , , , , , ,7,2,4,3,2,1,4,1,1,-9,-9,4,80,80,50,50,90,1,3,3,1, , ,1,8,2,8,6,4,40,28,3,3,4,1,3,2,5,5,1,4,3,5,6,6,6,4,6,7,6,3,5,4,4,1,1,1,2,7,7,7,7,1,4,7, , , , , , ,2,2,4,2,2,2,6,5,3,6,6,7,7,5,4,2,3,2
25387,1,201115,1,-9,3,4,2, , ,2,3,2,2,2, ,2,3,1,-9,2,1,-7,4,5,4,-7,-7,5,-7,-7,-7,-7,-7,5,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,-7, , , , , , , , , , , , ,5,4,3,3,2,1,3,1,1,-9,-9,3,50,0,0,0,0,2, , , , , ,3,8,4,-9,3,4,40,36,2,9,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,2,4,6,2, , , , , , ,1,3,1,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4
25540,1,201115,3,2,4,4,3, , ,2,3,2,3,2, ,3,1,1,2,1,6,6,6,6,6,6,6,6,6,6,6,4,6,7,6,6,3,3,4,3,6,4,3,3,1,4,6,5,4,3, , , , , , , , , , , , ,4,2,4,5,1,1,2,1,2,-9,-9,4,90,95,0,0,95,1,1,3,1,3,1,1,12,2,8,3,4,15,10,2,3,3,2,4,2,4,4,2,3,2,4,4,5,5,4,5,6,4,4,4,5,6,4,2, , , , , , , , , , , , , , , ,3,1,4,4,3,2,4,3,4,3,6,2,2,4,4,6,6,4
25540,2,201115,3,2,4,4,3, , ,-7,2,2,4,2, ,3,3,1,3,1,5,5,5,5,2,5,2,5,5,5,5,-7,5,5,6,6,4,4,4,4,3,4,4,5,7,1,6,2,2,-9, , , , , , , , , , , , ,5,5,2,3,2,1,2,2, ,2,-9,3,90,100,50,0,50,1,1,2,1,3,1,2,11,2,-9,4,4,20,0,1,1,4,1,4,3,3,4,2,3,1,4,6,4,5,3,4,5,5,4,6,4,5,2,5, , , , , , , , , , , , , , , ,4,5,1,4,3,3,1,1,5,2,5,3,1,1,2,2,1,1
25572,1,201115,3,2,3,2,2, , ,2,1,2,3,1,3,4,2,2, ,3,5,7,4,5,6,2,4,6,4,6,4,2,4,6,5,4,4,3,3,4,2,3,7,3,2,5,5,4,5,4, , , , , , , , , , , , ,5,1,3,4,1,1,3,1,1,-9,-9,4,90,90,70,5,90,1,-9,3,2,4,1,3,11,2,7,4,5,20,0,3,6,2,2,3,1,3,3,2,4,1,3,5,6,6,5,6,4,5,2,4,2,1,2,2, , , , , , , , , , , , , , , ,2,5,3,4,2,1,6,6,2,2,2,5,5,5,2,2,2,2
25658,1,201115,-9, ,3,3,2, , ,2,2,2,3,2, ,3,-9,2, ,3,4,6,-7,4,4,4,4,4,4,4,4,2,4,4,4,4,5,3,3,3,3,3,6, , , , , , , , , , , , , , , , , , , ,4,3,5,3,1,1,4,2, ,2,-9,-9,100,100,100,50,100,1,-9,3,2,3,1,2,10,3,3,3,3,40,35,2,6,3,5,1,4,4,4,5,3,3,2,4,2,2,2,3,3,4,2,7,4,2,1,7, , , , , , , , , , , , , , , ,3,2,2,4,3,3,2,2,6,6,6,4,5,4,4,5,5,3
25658,2,201115,1,2,3,3,2, , ,2,2,2,3,2, ,3,3,2, ,4,4,6,2,7,4,2,1,3,2,5,2,2,6,7,3,2,4,1,6,5,4,2,3,4,4,2,4,1,2,-7,4,2,6,3,5,2,2,4,2,4,3,4,4,2,1,3,1,1,4,2, ,2,-9,-9,50,100,100,0,100,1,3,3,1,3,1,2,10,2,-9,3,4,35,25,1,6,4,1,5,1,3,2,1,3,4,3,3,3,3,5,5,4,5,3,6,3,4,5,2, , , , , , , , , ,3,5,2,2,3,2, , , , , , , , , , , , , , , , , , 
25752,2,201115,-9, ,4,4,3, , ,2,1,2,3,2, ,1,1,1,1,1,3,5,4,5,5,-7,1,5,2,6,3,-7,5,6,6,3,3,2,3,2,5,2,5, , , , , , , ,3,2,4,4,5,4,4,3,4,4,3,4,4,4,2,3,2,1,3,1,1,-9,-9,4,90,80,0,0,90,1,1,5,3,4,8,3,11,2,-9,5,4,0,0,1,8,2,4,2,4,3,3,2,4,4,3,4,5,5,2,6,4,5,5,2,4,2,2,3, , , , , , , , , ,4,5,1,3,4,4, , , , , , , , , , , , , , , , , , 
25773,2,201117,4,2,4,5,3, , ,2,3,2,4,2, ,3,1,1,3,1,6,6,-7,6,7,-7,6,7,6,6,-7,-7,6,6,-7,-7,4,4,4,4,3,4,6,7,7,1,7,1,1,1, , , , , , , , , , , , ,6,1,3,4,1,1,4,1,2,-9,-9,4,100,0,0,100,90,1,2,2,2,3,1,2,12,2,9,4,1,20,10,2,6,5,3,5,1,5,5,3,4,2,5,6,4,6,6,7,7,7,2,6,6,2,6,4, , , , , , , , , , , , , , , ,3,3,2,2,2,1,5,4,4,4,4,6,7,6,4,3,4,4
26034,1,201115,2,2,4,4,3, , ,-7,2,2,4,2, ,2,2,1,2,1,-7,-7,5,6,6,3,4,4,-7,5,4,2,-7,6,6,4,4,5,4,4,5,4,4,4,3,1,4,3,5,2, , , , , , , , , , , , ,6,2,1,1,1,1,4,2, ,2,-9,-9,99,30,0,0,75,2, , , , , ,2,11,2,-9,6,4,32,32,2,9,3,2,2,2,4,4,3,3,2,3,4,3,4,4,5,4,5,4,5,5,3,4,3, , , , , , , , , , , , , , , ,4,5,1,4,4,4,1,1,3,2,5,2,2,5,5,5,4,4
26111,1,201115,2,2,3,4,3, , ,-7,1,2,3,2, ,3,1,1,2,1,1,5,7,6,7,1,3,6,1,6,7,-7,5,7,4,4,3,4,3,3,6,4,6,7,7,1,7,1,1,-7, , , , , , , , , , , , ,6,3,2,3,2,1,2,1,1,2,-9,4,80,5,0,0,90,1,1,3,1,3,1,2,10,3,7,3,4,38,15,2,6,3,2,1,2,4,4,3,3,3,5,3,4,4,2,5,5,6,3,5,5,2,2,5,7,3,4,6,2,1,4,6,1, , , , , , ,4,3,1,2,3,2,5,3,3,3,6,4,5,2,4,3,2,3
26111,2,201115,2,2,3,4,2, , ,-7,1,2,3,2, ,3,1,1,2,1,2,5,7,5,7,-7,3,6,1,6,6,-7,4,7,5,6,4,3,4,4,5,2,3,7,7,1,7,1,1,-7, , , , , , , , , , , , ,6,3,2,3,2,1,3,1,1,2,-9,3,95,65,0,0,95,1,1,3,1,3,1,2,10,4,6,3,4,38,20,1,1,2,3,3,1,3,3,4,2,3,3,4,2,5,4,6,5,6,4,4,6,2,3,2, , , , , , , , , , , , , , , ,3,3,1,3,1,2,4,4,6,3,5,2,6,4,2,6,4,3
26432,1,201115,-9, ,1,5,1,2, ,2,2,2,2,2, ,2,2,2, ,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4, , , , , , , , , , , , , , , , , , , ,4,4,3,3,1,1,3,2, ,-9,-9,-9,23,23,12,12,21,1,1,3,5,4,4,3,6,3,4,1,4,49,37,3,5,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4, , , , , , ,4,3,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4
26432,2,201115,2,2,4,4,3, , ,-7,2,2,4,2, ,3,1,1,3,1,1,4,7,7,7,1,1,1,1,7,7,1,3,7,1,1,7,4,7,7,4,1,7,7,7,1,7,1,1,-7, , , , , , , , , , , , ,7,1,5,5,1,1,4,2, ,-9,-9,4,90,50,50,0,50,1,3,3,1,3,1,2,9,3,7,5,4,38,30,3,6,4,1,1,3,3,4,1,4,1,5,1,1,1,1,1,1,1,7,7,1,4,4,1, , , , , , , , , , , , , , , ,4,5,1,2,4,4,4,4,5,5,4,4,6,5,2,5,2,2
26432,6,201115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,4,4,4,-7, , , , , , , , , , , , ,4,4,5,3,3,1,2,2, ,-9,-9,-9,80,1,1,1,50,2, , ,2, , ,2,7,3,5,5,4,30,30,2,5,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4, , , , , , , , , , , , , , , ,3,1,2,4,2,3,4,6,5,3,3,6,2,4,3,4,2,5
26432,7,201115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,4,4,4,-7, , , , , , , , , , , , ,4,4,3,1,1,1,2,2, ,-9,-9,2,70,60,5,1,100,2, , ,2, , ,2,2,4,8,4,4,30,0,2,1,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4, , , , , , , , , , , , , , , ,1,2,2,4,2,3,6,5,2,2,5,5,4,4,4,4,4,4
26529,1,201115,2,2,3,3,2, , ,2,3,2,3,2, ,3,2,1,1,1,1,1,-7,-7,-7,1,1,1,1,-7,-7,1,1,-7,1,-7,7,7,1,7,7,4,4,7,1,1,7,7,1,-7, , , , , , , , , , , , ,6,1,2,5,1,1,2,2, ,2,-9,3,50,0,0,0,0,1,1,3, , , ,1,11,2,7,3,4,30,10,4,6,5,1,3,1,5,5,1,5,1,5,7,4,4,7,7,7,4,1,7,4,1,1,1,7,7,7,7,5,1,5,7,1, , , , , , ,3,5,3,3,1,1,7,7,1,7,1,1,7,7,7,1,1,1
26714,1,201115,5,2,4,4,3, , ,2,2,2,4,2, ,4,2,1,3,1,2,4,5,3,6,2,3,6,2,6,3,3,-7,6,6,4,5,4,3,4,5,4,5,5,3,4,5,3,4,-7, , , , , , , , , , , , ,3,3,3,4,1,1,4,1,1,-9,-9,4,90,80,60,30,100,1,1,2,2,3,1,2,7,4,10,7,2,40,32,3,8,4,2,4,2,4,4,1,5,2,4,4,5,5,4,5,5,5,3,5,4,4,4,2,6,6,6,5,6,4,2,5,6, , , , , , ,1,2,3,2,2,3,5,4,4,3,3,3,3,4,3,5,3,4
26714,2,201115,5,2,4,4,1,1,3,2,2,2,4,2, ,4,2,1,3,1,3,5,6,6,6,3,3,6,3,6,3,3,-7,6,6,4,5,4,4,5,6,4,5,5,4,5,5,4,4,-7,4,3,5,4,3,3,3,4,5,5,5,3,3,3,3,5,1,1,4,1,1,-9,-9,3,90,100,60,20,90,1,1,3,2,3,1,2,6,4,11,7,2,40,36,3,8,2,4,2,3,4,5,4,3,3,3,5,3,4,3,5,6,5,3,4,5,4,3,2,6,6,6,5,6,3,3,5,4,1,3,3,2,3,3, , , , , , , , , , , , , , , , , , 
26728,1,201115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,4,4,4,-7, , , , , , , , , , , , ,5,5,2,4,1,1,4,2, ,-9,-9,3,90,50,0,0,100,1,1,3,1, , ,1,9,2,9,5,4,40,10,4,3,5,1,1,1,5,5,1,5,1,5,6,6,5,5,6,5,5,5,5,5,5,5,5,7,7,7,7,7,7,5,7,7, , , , , , ,2,2,3,4,1,1,4,6,4,5,6,6,4,5,2,4,6,2
26728,2,201115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,1,7,5,4,-7, , , , , , , , , , , , ,6,2,2,1,1,1,4,2, ,-9,-9,-9,95,10,0,0,100,1,1,3,1, , ,1,9,2,9,4,4,40,12,1,1,5,1,1,4,5,3,1,5,1,5,6,6,6,6,6,6,6,6,6,6,6,6,6, , , , , , , , , , , , , , , ,2,2,2,3,1,1,6,5,4,5,4,6,5,5,4,5,6,5
26728,3,201117,3,2,5,4,2, , ,2,2,2,3,1,3,5,1,1,1,1,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,6,6,6,7,7,7,6,6,6,6,6,6,-7, , , , , , , , , , , , ,6,1,3,3,2,1,3,1,2,-9,-9,4,100,50,0,0,80,2, , ,1,3,1,1,5,2,8,6,4,40,32,4,1,5,1,1,1,5,5,3,5,1,5,6,6,7,1,6,6,6,1,1,4,6,6,6,7,7,7,7,7,5,5,7,7, , , , , , ,1,2,2,4,1,1,7,2,6,5,7,6,6,7,5,6,4,6
26728,5,201115,4,2,4,4,2, , ,2,1,2,3,2, ,3,1,1,1,1,6,6,6,7,6,6,6,7,7,7,3,7,7,7,7,7,6,6,6,7,7,7,6,4,4,4,4,4,4,-7, , , , , , , , , , , , ,6,1,3,3,2,1,3,1,2,-9,-9,4,80,40,0,0,0,2, , ,1,3,1,2,3,2,8,6,4,40,32,1,9,5,5,1,3,3,5,5,4,1,4,7,7,7,7,7,7,7,4,4,4,4,4,4,7,7,7,7,5,5,5,7,3, , , , , , ,1,2,3,2,1,1,1,1,2,1,1,1,7,4,1,6,7,1
26729,1,201115,-9, ,2,1,2, , ,2,3,2,3,2, ,3,3,2, ,3,5,7,7,5,7,4,7,7,7,5,6,6,7,7,5,7,3,3,3,3,3,3,1, , , , , , , , , , , , , , , , , , , ,4,2,4,3,1,1,3,2, ,2,-9,3,80,50,50,50,50,1,-9,2,1,3,-9,2,5,3,-9,5,4,36,20,3,6,3,2,3,1,4,4,1,3,2,3,3,4,2,2,3,3,5,6,6,5,5,5,3,5,2,6,5,4,1,5,1,1, , , , , , ,3,5,5,4,4,4,5,3,5,4,4,5,6,6,5,3,4,4
26729,2,201141,2,2,3,3,3, , ,1,2,2,3,2, ,2,2,1,1,2,3,4,6,7,7,2,4,7,3,6,5,2,4,6,6,7,4,4,4,3,4,3,6,2,5,1,6,6,3,-7, , , , , , , , , , , , ,4,5,1,1,1,1,4,2, ,-9,3,3,50,50,10,0,100,2, , ,2,3,1,2,5,3,6,5,4,36,15,1,1,2,2,2,2,4,4,3,4,2,4,6,6,6,4,5,6,6,3,4,5,6,6,6,6,6,4,3,3,1,5,6,4, , , , , , ,1,2,4,2,2,3,3,3,5,5,5,3,3,4,3,4,4,3
26767,1,201115,2,2,3,3,2, , ,-7,2,2,2,1,3,3,2,1,1,1,4,6,7,3,7,-7,-7,7,2,7,7,-7,5,7,7,7,1,1,1,1,1,1,1,1,7,1,1,1,1,-7, , , , , , , , , , , , ,6,1,3,5,2,1,3,1,1,2,-9,3,90,0,0,0,5,1,1,3,1,4,1,2,10,4,-9,4,4,36,12,2,9,5,1,3,1,5,5,1,4,1,5,4,5,5,3,5,5,5,2,4,2,4,4,2, , , , , , , , , , , , , , , ,1,2,3,3,1,2,2,4,3,2,4,5,6,5,3,3,3,3
26986,1,201115,4,2,4,4,2, , ,-7,1,2,3,2, ,3,1,1,3,1,5,5,5,2,6,2,2,7,4,6,6,1,5,6,5,3,4,4,2,4,4,4,2,6,2,1,5,3,3,3, , , , , , , , , , , , ,6,1,4,4,1,1,4,1,2,-9,-9,4,90,100,100,40,100,1,2,2,1,4,1,2,10,2,-9,5,4,36,18,4,6,2,2,1,2,3,4,1,3,1,4,6,3,2,6,6,6,6,5,2,2,3,5,3,7,7,7,6,6,4,2,7,4, , , , , , ,1,4,2,4,3,2,4,4,2,2,5,4,6,5,5,5,2,2
27217,1,201115,1,1,2,2,2, , ,2,3,2,2,1,3,2,2,1,1,1,-7,-7,7,7,2,1,2,-7,6,7,7,-7,-7,7,5,7,2,1,7,1,7,1,2,3,7,2,6,4,4,-7,2,2,5,1,3,3,3,4,5,3,2,7,3,3,3,1,1,1,4,1,1,2,2,-9,50,0,0,0,0,2, , , , , ,2,6,4,-9,6,1,50,40,3,1,4,3,1,1,1,4,4,4,1,3,6,3,4,4,6,4,4,3,6,2,4,6,4, , , , , , , , , ,1,3,4,1,1,1, , , , , , , , , , , , , , , , , , 
27257,4,201117,2,2,3,3,2, , ,1,4,2,3,2, ,3,1,2, ,2,1,6,6,6,6,2,2,6,2,6,6,2,5,7,6,6,3,5,5,4,4,3,5,3,4,4,3,5,4,3, , , , , , , , , , , , ,3,4,3,2,1,1,4,2, ,2,-9,4,90,30,20,10,90,1,1,5,2,3,1,1,7,3,7,6,1,38,32,1,1,3,2,2,2,4,4,2,3,2,4,3,5,3,4,5,3,4,2,5,4,5,3,4,6,4,4,5,4,5,3,3,4, , , , , , ,1,3,4,4,3,3,3,5,4,4,4,5,3,5,4,4,5,3
27397,1,201115,4,2,4,5,3, , ,-7,2,2,4,2, ,3,2,1,4,2,1,-7,5,4,4,6,4,6,1,6,5,3,-7,5,6,6,4,3,4,4,5,4,5,5,5,5,5,5,5,3, , , , , , , , , , , , ,5,4,3,3,2,1,4,1,1,2,-9,3,50,0,0,0,100,2, , ,2,3,2,2,6,3,8,6,4,38,32,2,6,4,1,3,2,4,4,4,4,2,3,5,5,5,3,5,5,5,5,2,3,5,5,4,5,5,5,5,5,5,3,5,4, , , , , , ,1,2,4,3,1,2,4,4,5,5,5,5,5,3,4,3,4,4
27450,2,201115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,6,1,7,1,4,-7, , , , , , , , , , , , ,4,5,2,5,1,1,3,1,1,-9,-9,4,75,80,0,0,99,1,1,3,1, , ,2,9,2,-9,4,4,36,30,2,9,2,4,4,1,5,5,2,4,2,5,5,4,4,2,5,6,6,3,3,2,1,3,1,7,7,4,7,6,4,5,7,3, , , , , , ,3,4,4,2,3,3,4,4,4,4,5,4,7,1,7,4,1,1
27494,1,201115,2,2,3,4,3, , ,2,3,2,3,1,4,3,2,1,2,1,1,4,1,4,7,1,1,5,2,4,1,-7,4,4,4,4,4,3,4,4,4,4,6,3,2,2,2,2,2,1,4,3,3,4,5,3,5,5,2,4,4,3,5,4,2,3,4,1,2,2, ,2,-9,2,100,4,0,0,1,1,1,5,1,3,1,1,11,2,7,3,4,0,0,2,1,3,3,3,1,3,3,3,3,1,3,3,3,3,3,3,5,4,5,5,4,3,4,4, , , , , , , , , ,1,2,4,3,1,2, , , , , , , , , , , , , , , , , , 
27578,2,201115,3,2,3,4,3, , ,1,4,2,4,2, ,4,1,1,2,1,4,6,-7,6,6,-7,-7,6,5,6,6,-7,6,6,6,6,5,3,5,4,4,3,5,6,7,1,6,1,1,-7, , , , , , , , , , , , ,7,2,3,5,1,1,4,1,1,-9,-9,4,90,40,0,0,40,1,1,3,1,3,1,1,11,2,9,7,5,20,0,2,8,4,1,3,1,5,4,2,3,1,4,5,3,5,3,6,6,4,4,4,4,3,4,3, , , , , , , , , , , , , , , ,1,5,3,2,3,3,5,5,3,5,5,4,6,5,2,4,3,1
27581,1,201115,1,2,2,2,1,2, ,2,4,2,3,2, ,2,2,1,1,1,-7,-7,5,2,2,-7,3,4,-7,6,5,-7,-7,7,5,4,2,2,6,2,5,2,2,6,2,3,6,3,2,2, , , , , , , , , , , , ,2,6,1,4,1,1,4,2, ,-9,-9,3,80,0,0,0,100,2, , , , , ,2,9,2,7,6,4,36,24,2,2,4,3,2,3,3,4,2,2,4,3,3,5,5,3,5,4,4,2,3,6,2,4,2, , , , , , , , , , , , , , , ,1,4,4,2,2,2,5,3,3,5,3,2,5,4,5,5,3,4
27689,1,201115,3,2,4,4,3, , ,2,2,2,4,2, ,3,2,1,2,1,5,4,3,4,3,3,2,6,4,5,4,1,5,7,7,6,5,4,5,4,5,4,5,5,6,2,6,2,4,-7,5,4,5,5,5,3,5,4,4,4,5,5,4,2,2,3,1,1,4,2, ,-9,-9,4,90,100,75,0,100,1,-9,3,1,4,1,2,10,2,8,4,4,36,0,2,8,2,3,2,2,4,4,2,3,2,4,5,5,4,3,5,4,5,3,6,3,4,5,4, , , , , , , , , ,3,3,5,2,2,2, , , , , , , , , , , , , , , , , , 
27689,2,201115,3,2,4,4,3, , ,2,3,2,4,2, ,3,2,1,2,1,7,6,5,6,5,4,4,6,6,5,4,2,6,6,6,5,4,4,4,4,4,4,5,4,6,4,5,4,4,-7, , , , , , , , , , , , ,6,2,2,3,1,1,4,2, ,-9,-9,2,100,100,100,0,100,1,-9,3,1,2,1,2,11,2,8,4,4,36,0,2,8,4,2,3,2,3,4,3,3,3,4,6,5,5,2,4,5,4,2,6,3,4,5,5, , , , , , , , , , , , , , , ,1,2,2,2,2,2,5,4,5,4,5,3,5,4,5,6,4,4
27729,1,201115,3,2,4,4,2, , ,2,3,2,3,2, ,3,1,1,2,2,4,5,-7,6,7,1,1,1,4,6,1,-7,1,6,2,-7,4,1,4,4,4,2,6,1,7,1,7,1,1,-7, , , , , , , , , , , , ,5,1,4,3,1,1,2,1,2,1,-9,-9,90,90,60,0,99,1,1,3,2,3,1,2,13,3,7,4,5,34,34,2,1,3,4,1,2,5,4,5,2,3,4,4,5,5,5,1,6,4,6,4,7,3,5,1, , , , , , , , , , , , , , , ,4,5,2,4,4,3,1,1,3,4,3,1,1,1,1,1,1,1
27834,2,201115,4,2,5,5,3, , ,2,3,2,4,2, ,2,2,1,3,1,5,6,7,5,7,1,3,7,5,6,7,1,4,6,3,4,3,3,3,3,4,1,3,5,6,1,5,4,3,2,5,4,4,3,4,2,3,3,1,3,3,2,6,2,4,4,1,1,4,1,2,2,-9,4,50,90,90,10,100,1,1,2,2,3,1,2,10,2,8,3,4,38,36,2,2,2,4,2,4,2,3,4,3,2,3,4,3,4,3,4,4,3,3,5,3,2,2,1, , , , , , , , , ,1,2,4,4,2,2, , , , , , , , , , , , , , , , , , 
27848,1,201115,3,2,4,4,1,1,3,-7,2,2,3,2, ,3,1,2, ,2,1,3,-7,6,7,-7,4,6,1,7,7,-7,5,7,6,4,5,4,4,4,5,4,6,4,3,1,6,4,3,2,5,3,3,2,4,4,6,5,2,4,3,2,5,1,5,4,1,1,4,2, ,-9,-9,4,90,100,0,0,100,1,1,3,1,3,1,1,13,2,8,4,1,0,0,3,6,3,3,3,2,3,2,4,1,5,2,6,5,5,6,5,6,6,2,6,4,2,2,2, , , , , , , , , ,1,5,5,4,3,3, , , , , , , , , , , , , , , , , , 
27851,1,201115,3,2,3,4,2, , ,-7,3,2,3,2, ,3,2,1,2,2,2,-7,-7,6,6,-7,2,5,2,6,4,-7,-7,6,6,6,4,2,4,5,4,4,6,6,6,2,6,2,2,-7, , , , , , , , , , , , ,7,1,2,3,1,1,3,2, ,-9,-9,-9,100,0,0,0,20,1,1,5,1,3,1,2,11,2,-9,3,5,35,0,2,2,5,1,1,4,5,5,2,5,1,5,6,2,6,2,4,2,5,5,6,6,1,2,1, , , , , , , , , , , , , , , ,1,1,5,4,4,3,2,2,5,5,5,2,3,2,4,2,6,4
